date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2024-03-28,NTRB,2024-03-28 15:30:44,2024-03-28 19:50:00,5.025,4.3641,3980.0995,20000.0,-2650.5,-13.153,417473.77,1.03
2024-04-03,JZXN,2024-04-03 14:20:13,2024-04-03 19:50:00,1985.88,746.928,10.0711,20000.0,-12478.61,-62.3881,404994.16,3.64
2024-04-04,CADL,2024-04-04 15:20:46,2024-04-04 19:50:00,2.5728,6.2887,7773.6318,20000.0,28847.47,144.4317,433802.77,1.09
2024-04-05,BTTR,2024-04-05 14:53:34,2024-04-05 19:50:00,4.4722,8.3192,4472.0219,20000.0,17181.06,86.0171,450961.47,3.13
2024-04-18,BPTH,2024-04-18 13:58:15,2024-04-18 19:50:00,6.7362,4.0249,2969.027,20000.0,-8064.77,-40.2496,442881.85,1.45
2024-04-19,TRSG,2024-04-19 14:31:47,2024-04-19 19:50:00,8.2008,6.0847,2438.7865,20000.0,-5172.79,-25.803,437696.87,37.87
2024-04-23,HCP,2024-04-23 14:03:57,2024-04-23 19:50:00,25.2858,29.6357,790.9578,20000.0,3436.65,17.203,441129.57,1.5
2024-04-25,BACK,2024-04-25 14:56:24,2024-04-25 19:50:00,3.9898,5.3566,5012.7198,20000.0,6825.95,34.255,447930.45,4.46
2024-05-03,NUVO,2024-05-03 14:27:11,2024-05-03 19:50:00,4.3215,2.0195,4628.0227,20000.0,-10676.67,-53.2677,437230.64,1.29
2024-05-10,LIDR,2024-05-10 14:37:51,2024-05-10 19:50:00,2.1003,2.6733,9522.2248,20000.0,5408.15,27.2788,442591.18,1.97
2024-05-14,GME,2024-05-14 14:26:24,2024-05-14 19:50:00,52.059,49.8052,384.1795,20000.0,-867.79,-4.3294,441715.94,1.3
2024-05-14,MTC,2024-05-14 14:52:22,2024-05-14 19:50:00,56.4408,69.7851,354.3536,20000.0,4726.83,23.643,446442.77,2.01
2024-05-14,MTC,2024-05-14 14:54:57,2024-05-14 19:50:00,52.4208,69.7851,381.5279,20000.0,6623.06,33.1248,453065.82,1.53
2024-05-14,MTC,2024-05-14 15:08:08,2024-05-14 19:50:00,54.1092,69.7851,369.6229,20000.0,5792.32,28.9709,458858.15,1.23
2024-05-16,FFIE,2024-05-16 14:21:06,2024-05-16 19:50:00,42.612,65.2365,469.3514,20000.0,10616.49,53.0942,469472.29,1.49
2024-05-17,DUO,2024-05-17 14:09:53,2024-05-17 19:50:00,26.3712,25.8552,758.4031,20000.0,-395.13,-1.9567,468984.7,1.0
2024-05-17,DUO,2024-05-17 14:17:39,2024-05-17 19:50:00,24.2808,25.8552,823.6961,20000.0,1292.71,6.4841,470277.41,1.81
2024-05-17,FLJ,2024-05-17 15:09:32,2024-05-17 19:50:00,1.1827,1.4464,16910.6879,20000.0,4374.64,22.296,474652.05,3.33
2024-05-28,LPA,2024-05-28 13:52:45,2024-05-28 19:50:00,17.7584,28.4188,1126.2308,20000.0,12000.47,60.0305,486641.93,2.67
2024-05-28,LPA,2024-05-28 14:18:46,2024-05-28 19:50:00,20.1452,28.4188,992.7911,20000.0,8208.94,41.0695,494850.87,2.21
2024-05-31,ADRT,2024-05-31 14:27:38,2024-05-31 19:50:00,18.6729,43.89,1071.0709,20000.0,27003.95,135.0465,521844.37,6.3
2024-05-31,ADRT,2024-05-31 14:30:22,2024-05-31 19:50:00,19.6417,43.89,1018.2408,20000.0,24685.5,123.4529,546529.86,6.66
2024-06-03,CCM,2024-06-03 14:27:04,2024-06-03 19:50:00,5.9566,8.4787,3357.6004,20000.0,8451.47,42.3413,554964.54,7.56
2024-06-04,DHAC,2024-06-04 15:33:14,2024-06-04 19:50:00,22.0497,20.4488,907.0418,20000.0,-1456.66,-7.2606,537648.87,14.67
2024-06-04,LPA,2024-06-04 14:58:09,2024-06-04 19:50:00,402.0,194.8118,49.7512,20000.0,-10308.87,-51.5394,539105.53,6.77
2024-06-04,ADRT,2024-06-04 14:50:01,2024-06-04 19:50:00,33.3157,24.0896,600.3167,20000.0,-5541.6,-27.693,549414.41,5.19
2024-06-05,ASNS,2024-06-05 14:12:52,2024-06-05 19:50:00,26.8335,39.6008,745.337,20000.0,9512.18,47.5795,547135.04,1.31
2024-06-05,ASNS,2024-06-05 14:34:13,2024-06-05 19:50:00,21.306,39.6008,938.7027,20000.0,17168.64,85.8667,564303.68,2.2
2024-06-05,ASNS,2024-06-05 14:39:48,2024-06-05 19:50:00,23.919,39.6008,836.1554,20000.0,13108.2,65.5619,577411.88,1.19
2024-06-05,ASNS,2024-06-05 14:46:18,2024-06-05 19:50:00,27.939,39.6008,715.8452,20000.0,8344.43,41.74,585756.31,3.29
2024-06-05,ASNS,2024-06-05 14:51:44,2024-06-05 19:50:00,27.4365,39.6008,728.956,20000.0,8863.56,44.336,594619.87,1.05
2024-06-05,ASNS,2024-06-05 14:58:35,2024-06-05 19:50:00,30.753,39.6008,650.3431,20000.0,5750.82,28.7704,600370.69,3.18
2024-06-05,ASNS,2024-06-05 15:47:26,2024-06-05 19:50:00,34.17,39.6008,585.3088,20000.0,3175.74,15.8933,603546.43,3.3
2024-06-12,DDC,2024-06-12 14:24:22,2024-06-12 19:50:00,32.6625,42.1444,612.323,20000.0,5802.91,29.0299,609346.27,1.73
2024-06-13,ZAPP,2024-06-13 14:04:39,2024-06-13 19:50:00,1.8291,2.4938,10934.3393,20000.0,7212.84,36.3375,616380.93,8.56
2024-06-13,ZAPP,2024-06-13 14:26:22,2024-06-13 19:50:00,2.3115,2.4938,8652.3902,20000.0,1533.64,7.8845,617914.56,2.1
2024-06-13,ZAPP,2024-06-13 14:50:49,2024-06-13 19:50:00,2.5125,2.4938,7960.199,20000.0,-189.05,-0.7463,617725.51,2.19
2024-06-13,ZAPP,2024-06-13 15:28:13,2024-06-13 19:50:00,2.4723,2.4938,8089.6331,20000.0,133.07,0.8676,617858.58,2.08
2024-10-07,SOBR,2024-10-07 15:20:26,2024-10-07 19:50:00,66.129,99.7051,302.4392,20000.0,10153.22,50.7737,628010.29,16.95
2024-10-11,TCS,2024-10-11 15:34:50,2024-10-11 19:50:00,12.874,15.406,1553.5127,20000.0,3925.63,19.667,631920.64,2.07
2024-10-11,TCS,2024-10-11 15:40:17,2024-10-11 19:50:00,13.3134,15.406,1502.2418,20000.0,3136.01,15.7176,635056.65,1.96
2024-10-17,NUZE,2024-10-17 15:23:13,2024-10-17 19:50:00,1.3216,2.2942,15133.4582,20000.0,14642.76,73.5921,714554.7,1.09
2024-10-17,NUZE,2024-10-17 15:01:48,2024-10-17 19:50:00,1.4572,2.2942,13724.481,20000.0,11417.4,57.4301,699911.94,1.26
2024-10-17,NUZE,2024-10-17 14:41:56,2024-10-17 19:50:00,1.5175,2.2942,13179.1374,20000.0,10169.03,51.1746,688494.54,1.11
2024-10-17,NUZE,2024-10-17 14:27:21,2024-10-17 19:50:00,1.0353,2.2942,19318.9957,20000.0,24224.08,121.6034,678325.52,3.09
2024-10-17,JDZG,2024-10-17 14:04:37,2024-10-17 19:50:00,170.8701,336.2174,117.048,20000.0,19352.56,96.7678,654101.43,1.3
2024-10-18,DRUG,2024-10-18 15:15:05,2024-10-18 19:50:00,51.2894,54.9224,389.9443,20000.0,1414.71,7.0833,715967.46,1.34
2024-10-23,PC,2024-10-23 14:11:59,2024-10-23 19:50:00,45.7632,13.556,437.0326,20000.0,-14077.76,-70.3779,701881.04,118.23
